,Unnamed: 0,User ID,Trump,Biden,Democratic,Republican,Label
274,274,2741106614,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
275,275,1088555080431910913,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
276,276,212054467,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
277,277,2273639569,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
278,278,778975055221035008,Dislike,Dislike,Non-mentioned,Like,Neutral
279,279,72940241,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
280,280,17606470,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
281,281,14424726,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
282,282,961889644026540034,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
283,283,1159949881605271552,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
284,284,84428893,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
285,285,1213917326677962752,Dislike,Non-mentioned,Like,Non-mentioned,Neutral
286,286,823416952232275968,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
287,287,3384944861,Dislike,Like,Like,Non-mentioned,Neutral
288,288,1206546918911791105,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
289,289,46196690,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
290,290,1926005257,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
291,291,415113302,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
292,292,33274785,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
293,293,921403640,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
294,294,2433220789,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
295,295,48502728,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
296,296,1043897577714810880,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
297,297,19769581,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
298,298,2202695753,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
299,299,518177595,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
300,300,851903792287186944,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
301,301,266636321,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
302,302,3130918859,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
303,303,16477192,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
304,304,4119948941,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
305,305,917404464503508993,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
306,306,587647612,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
307,307,4794821602,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
308,308,1227367479292223489,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
309,309,2173260566,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
310,310,75136656,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
311,311,292998458,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
312,312,2426613224,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
313,313,413257419,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
314,314,1653862098,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
315,315,20444838,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
316,316,1192983360739524609,Dislike,Non-mentioned,Like,Non-mentioned,Neutral
317,317,1350407324,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
318,318,374291683,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
319,319,17082673,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
320,320,1413217124,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
321,321,161688093,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
322,322,135263108,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
323,323,620483339,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
324,324,715341110,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
325,325,4713144313,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
326,326,1976092530,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
327,327,942782869759393792,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
328,328,1125352950535036928,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
329,329,34716975,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
330,330,1068082003885592576,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
