,User ID,Trump,Biden,Democratic,Republican,Label
71,965077703455051778,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
72,1078882109689864193,Dislike,Non-mentioned,Non-mentioned,Swing,Hate
73,237399637,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
74,285349020,Dislike,Like,Non-mentioned,Non-mentioned,Hate
75,837239978941874177,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
76,562350417,Dislike,Like,Non-mentioned,Non-mentioned,Hate
77,848895140823314432,Dislike,Like,Non-mentioned,Dislike,Hate
78,1012029286591746051,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
79,305523871,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
80,967588601809731584,Dislike,Non-mentioned,Dislike,Non-mentioned,Hate
81,1224256294262935552,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
82,282829129,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
83,919468352665456640,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
84,1205191966042009600,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
85,1184277948062289920,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
86,1219167887916580864,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
87,2207380035,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
88,830599800533901312,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
89,1705102424,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
90,1161208469141123072,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
91,977242768807522305,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
92,865707851167272961,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
93,750381811360989184,Dislike,Like,Non-mentioned,Non-mentioned,Hate
94,777256337843458048,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
95,1249635494607998976,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
96,847399784952455168,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
97,1137758994305622019,Dislike,Like,Non-mentioned,Non-mentioned,Hate
98,962055681669873664,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
99,1074569861777387522,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
100,3096160231,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
101,15621395,Dislike,Non-mentioned,Non-mentioned,Like,Hate
102,2418250075,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
103,809398755514421248,Dislike,Like,Non-mentioned,Non-mentioned,Hate
104,919625490771726336,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
105,15047886,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
106,855461120491925509,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
107,2911430073,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
108,1243017650105536512,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
109,620551539,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
110,968880948724092928,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
111,260463044,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
112,3312139547,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
113,3000041869,Dislike,Like,Non-mentioned,Non-mentioned,Hate
114,33469284,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
115,3241723388,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
116,1207033202944172034,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
117,1233745961781993477,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
118,1240277309732425730,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
119,386094809,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
120,1184692549551738880,Dislike,Like,Like,Non-mentioned,Hate
121,1187825535226789893,Dislike,Like,Non-mentioned,Non-mentioned,Hate
122,853989357912555524,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
123,2400860378,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
124,2979163125,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
125,1092975843033243648,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
126,1214993004810919936,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
127,563894406,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
128,1223404660863766528,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
129,1239715206235934722,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
130,1172707845936156672,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
131,727283223408029697,Dislike,Like,Non-mentioned,Non-mentioned,Hate
132,1213804060995809280,Dislike,Non-mentioned,Like,Like,Hate
133,53683770,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
134,323973697,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
135,28923013,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
136,976884723887812608,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
137,299104662,Dislike,Non-mentioned,Dislike,Non-mentioned,Hate
138,311357734,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
139,3194799960,Dislike,Like,Non-mentioned,Non-mentioned,Hate
140,894768676938711042,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
141,1248391342448766990,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
142,871514269090684928,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
143,727586275,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
144,377784646,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
145,846902129042190339,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
146,322424625,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
147,479258072,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
148,1239965469379039232,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
149,1058038455651971073,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
150,83036348,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
151,1226852949952954368,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
152,1140433063140155394,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
153,730740048371589120,Dislike,Non-mentioned,Swing,Swing,Hate
154,1059126992,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
155,1034935458801901568,Dislike,Swing,Like,Like,Hate
156,700865030598762498,Dislike,Like,Non-mentioned,Non-mentioned,Hate
157,1145255702564237313,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
158,1061765073885188096,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
159,841312790,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
160,1119282313039421442,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
161,74357352,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
162,3909195373,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
163,1227901900944814080,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
164,261373389,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
