,User ID,Trump,Biden,Democratic,Republican,Label
153,19755104,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
154,1078125949210804225,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
155,26792302,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
156,2415887156,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
157,1222086761532145664,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
158,314762787,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
159,2421342327,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
160,1185237073583890432,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
161,17058103,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
162,1449532381,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
163,1210620522591117313,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
164,201790588,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
165,1015784562163625985,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
166,405224644,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
167,1043329175254224897,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
168,754113712726773760,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
169,1035908261004943366,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
170,626174196,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
171,1239616784027635714,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
172,732402165906464768,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
173,2747267152,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
174,430383161,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
175,1890557862,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
176,31534777,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
177,1129465006343565313,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
178,1223740115257896962,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
179,4661971874,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
180,1034998155220340737,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
181,534753659,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
182,229666322,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
183,2324869339,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
184,946030079561347072,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
185,24548187,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
186,335988422,Dislike,Non-mentioned,Dislike,Non-mentioned,Counterhate
187,137774369,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
188,1196865832036556800,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
189,98777317,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
190,196692689,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
191,15101604,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
192,1224703204991983616,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
193,4223079796,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
194,1031701940210675712,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
195,15295324,Dislike,Like,Non-mentioned,Dislike,Counterhate
196,1241538428187152384,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
197,214832619,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
198,757947013,Dislike,Swing,Non-mentioned,Dislike,Counterhate
199,329310886,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
200,1240467726864277509,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
201,624225736,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
202,23344134,Dislike,Dislike,Non-mentioned,Like,Counterhate
203,2785931558,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
204,33653110,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
205,4875615193,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
206,3133483644,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
207,1228911198382329856,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
208,583161189,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
209,774415940452651009,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
210,341187794,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
211,187657669,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
212,1052339422102872065,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
213,110168622,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
214,1212869384,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
215,190513285,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
216,36974996,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
217,945634759308337152,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
218,67972351,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
219,2261804977,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
220,4734646512,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
221,222575140,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
222,123211898,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
223,15488901,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
224,605637848,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
225,1173144825157128193,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
226,2286965533,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
227,1056958709669216256,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
228,21149118,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
229,3582126195,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
230,983212783314415616,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
231,1086871769686765568,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
232,15449607,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
233,1603963926,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
234,1037175498793607168,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
235,30127567,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
236,17036397,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
237,1143743953650343937,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
238,21948044,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
239,8652682,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
240,3034950016,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
241,961182706200539136,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
242,3961909576,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
243,961382149785030656,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
244,342642822,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
245,951491158919794689,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
246,448789047,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
