,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
125,1.22e+18,Georgia,Cobb,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Change,Non-change,Hate
126,1867534207.0,Louisiana,Avoyelles,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
127,1.02e+18,California,Tulare,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
128,9.7e+17,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
129,575555278.0,California,San Diego,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
130,70023927.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
131,310870318.0,Colorado,Jefferson,Dislike,Non-mentioned,Non-mentioned,Dislike,Blue,Blue,Non-change,Non-change,Hate
132,310870318.0,Colorado,Jefferson,Dislike,Non-mentioned,Non-mentioned,Dislike,Blue,Blue,Non-change,Non-change,Hate
133,48255878.0,California,Alameda,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
134,1.23e+18,Indiana,Elkhart,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
135,36383311.0,Wisconsin,Columbia,Dislike,Dislike,Dislike,Non-mentioned,Blue,Red,Change,Non-change,Hate
136,2401907132.0,California,Tulare,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
137,1.08e+18,Kansas,Decatur,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
138,36420300.0,Illinois,Logan,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
139,228561338.0,California,Marin,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
140,271654961.0,Tennessee,Shelby,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
141,1.03e+18,Kansas,Decatur,Dislike,Swing,Non-mentioned,Dislike,Red,Red,Non-change,Non-change,Hate
142,315279635.0,Tennessee,Rutherford,Dislike,Like,Like,Non-mentioned,Red,Red,Non-change,Non-change,Hate
143,31345484.0,California,San Diego,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
144,9.37e+17,Alabama,Shelby,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
145,899019456.0,Georgia,Dodge,Dislike,Dislike,Non-mentioned,Swing,Blue,Red,Change,Non-change,Hate
146,3178517225.0,Illinois,Logan,Dislike,Non-mentioned,Non-mentioned,Like,Blue,Red,Non-change,Non-change,Hate
147,9.87e+17,Utah,Salt Lake,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
148,7.37e+17,Florida,Polk,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
149,7.99e+17,California,Riverside,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
150,1.24e+18,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
151,323450538.0,Kansas,Decatur,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
152,7.83e+17,Wisconsin,Wood,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Red,Change,Non-change,Hate
153,4686488156.0,Nebraska,Saline,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
154,352754544.0,Colorado,Teller,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
155,4235807833.0,Alabama,Hale,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
156,1.01e+18,Texas,Coleman,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
157,36858096.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
158,1.07e+18,California,San Diego,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
159,171260671.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
